Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Fiskpudding m ris hemlagad	100	0,1	478	114	11,4	4,5	0,0	5,6	2,7	1,8	0,5	0,3	0,1	0,3	1,3	0,5	0,0	0,1	1,5	0,3	0,0	0,0	0,0	0,0	0,1	0,0	1,0	0,0	36	35	0,47	0,10	0,10	13	0,08	0,12	0	3,8	1,7	0,24	0,50	13	167	0,40	260	60	20	425	10,0	0,60	53,0	1,9	76,5	0	
Fisksoppa	100	0,6	199	48	6,1	2,7	0,0	1,2	0,2	0,5	0,3	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,5	0,2	0,1	0,0	0,0	0,0	0,0	0,7	0,5	0,5	69	8	0,23	0,54	0,53	644	0,04	0,04	3	2,2	1,1	0,07	0,90	10	79	0,91	157	22	15	414	9,6	0,47	26,2	1,8	87,6	10	
Fisksoppa, mager fisk	100	1,0	151	36	4,5	3,2	0,0	0,4	0,1	0,1	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,6	0,5	0,5	5	1	0,21	0,30	0,30	56	0,05	0,03	3	1,6	0,8	0,08	0,21	15	58	0,34	133	13	12	215	5,5	0,22	10,0	1,2	89,8	9	
Fisksås pulver tillagad m mjölk vatten smör typ Skagen Smögen	100	0,2	467	112	2,7	7,8	0,0	7,6	3,7	3,2	0,3	0,4	0,1	0,5	1,6	0,9	0,0	0,1	3,0	0,2	0,0	0,0	0,0	0,0	0,0	0,7	3,2	0,3	44	40	0,10	0,97	0,97	56	0,05	0,09	0	0,7	0,2	0,05	0,21	14	82	0,15	114	53	16	491	1,8	0,46	36,0	1,5	79,9	0	
Fiskthaigryta, lax	100	1,4	781	188	9,9	3,4	0,0	14,8	8,9	3,0	1,8	1,3	4,0	1,6	1,6	0,4	0,0	0,5	2,4	0,4	0,1	0,1	0,2	0,1	0,6	1,1	1,2	1,2	108	14	5,91	1,05	1,05	974	0,12	0,05	14	5,2	3,4	0,46	2,49	16	141	1,11	330	23	30	169	12,6	0,53	33,1	1,5	69,0	22	
Fjällfil 4,2% fett naturell	100	0,0	284	68	3,5	4,2	0,0	4,1	2,7	1,0	0,1	0,4	0,1	0,4	1,2	0,5	0,0	0,0	0,9	0,1	0,0	0,0	0,0	0,0	0,0	0,0	3,4	0,1	46	45	0,10	0,10	0,10	19	0,04	0,16	0	0,9	0,1	0,04	0,34	12	93	0,00	170	114	12	38	1,3	0,43	16,1	0,8	87,4	0	
Fjällyoghurt 3,6 % fett, olika smaksättningar	100	0,0	382	91	3,0	11,5	0,0	3,7	2,4	0,9	0,1	0,4	0,1	0,4	1,1	0,4	0,0	0,0	0,8	0,1	0,0	0,0	0,0	0,0	0,0	5,2	4,8	2,4	38	36	0,10	0,16	0,16	19	0,03	0,14	2	0,8	0,1	0,06	0,26	16	79	0,05	141	96	10	31	1,2	0,37	12,6	0,6	81,3	0	
Flankstek nöt rå	100	0,0	563	135	22,0	0,0	0,0	5,1	2,4	2,1	0,2	0,0	0,0	0,1	1,2	1,0	0,0	0,1	1,9	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6	5	0,50	0,10	0,10	8	0,08	0,26	0	9,7	5,7	0,50	1,40	12	189	2,20	333	6	22	58	9,0	3,80	52,0	1,0	71,9	0	
Flintastek gris m svål rå	100	0,0	801	191	18,8	0,0	0,0	13,0	5,6	5,3	1,4	0,0	0,0	0,2	3,3	2,0	0,0	0,4	4,7	1,1	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,91	0,36	0	9,0	5,6	0,54	0,68	7	182	1,48	325	6	27	62	10,0	2,90	58,0	1,1	67,1	25	
Flundra	100	0,0	393	94	18,3	0,0	0,0	2,2	0,4	0,5	0,6	0,0	0,0	0,1	0,3	0,1	0,0	0,1	0,1	0,0	0,0	0,0	0,3	0,0	0,2	0,0	0,0	0,0	14	14	0,80	1,00	1,00	0	0,22	0,21	0	7,4	4,0	0,17	1,20	11	172	0,30	340	41	32	65	24,0	0,50	58,0	1,0	78,5	31	
