Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Tomater hela konserv m lag	100	1,9	74	18	0,9	2,1	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	16	0	0,00	0,74	0,74	195	0,05	0,03	15	0,9	0,7	0,09	0,00	24	19	0,50	220	26	12	163	0,5	0,30	0,0	0,9	94,0	0	
Tomatjuice konserv drickf	100	1,4	74	18	0,8	2,7	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,1	0,1	0,1	49	0	0,00	0,20	0,20	590	0,05	0,03	8	0,8	0,7	0,11	0,00	20	19	0,60	220	9	11	360	0,5	0,10	0,0	1,0	94,0	0	
Tomatpasta konserv	100	5,2	372	89	3,8	13,7	0,0	0,9	0,2	0,1	0,5	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,0	10,0	0,8	0,8	123	0	0,00	2,30	2,30	1 480	0,16	0,19	42	3,8	3,2	0,38	0,00	10	79	3,00	930	35	51	65	0,4	0,80	0,0	2,4	74,0	0	
Tomatpuré konc konserv	100	2,6	184	44	1,7	7,7	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,5	0,4	0,4	0	0	0,00	2,30	2,30	0	0,07	0,05	35	2,0	1,7	0,15	0,00	8	40	0,90	420	15	24	20	0,4	0,20	0,0	0,9	87,0	0	
Tomatröra italiensk	100	2,0	296	71	1,1	3,6	0,0	5,4	0,4	3,1	1,7	0,0	0,0	0,0	0,3	0,1	0,0	0,0	2,9	1,1	0,6	0,0	0,0	0,0	0,0	2,5	0,4	0,4	17	0	0,00	2,03	2,03	201	0,04	0,02	7	0,9	0,7	0,07	0,00	17	27	0,60	253	31	15	369	0,6	0,31	0,0	1,5	86,4	1	
Tomatröra mexikansk salsa kall	100	1,2	313	75	1,0	4,8	0,0	5,6	0,8	3,9	0,5	0,0	0,0	0,0	0,6	0,1	0,0	0,0	3,9	0,5	0,0	0,0	0,0	0,0	0,0	2,7	0,4	0,4	34	0	0,00	1,23	1,23	413	0,04	0,03	17	0,7	0,5	0,11	0,00	19	31	0,39	196	19	11	928	0,8	0,21	0,0	2,8	84,7	2	
Tomatsallad m vinägrettsås	100	1,2	265	63	0,8	3,7	0,0	4,8	0,3	2,8	1,5	0,0	0,0	0,0	0,2	0,1	0,0	0,0	2,6	1,0	0,5	0,0	0,0	0,0	0,0	2,7	0,1	0,1	41	0	0,00	1,69	1,69	494	0,03	0,02	13	0,8	0,6	0,09	0,00	18	27	0,26	191	8	10	146	0,5	0,19	0,0	0,8	88,6	0	
Tomatsoppa konserv tillagad m vatten mjölk	100	1,1	189	45	1,2	6,3	0,0	1,4	0,5	0,6	0,2	0,1	0,0	0,1	0,2	0,1	0,0	0,0	0,5	0,2	0,1	0,0	0,0	0,0	0,0	2,6	2,0	1,2	40	7	0,00	0,79	0,79	400	0,03	0,04	0	0,7	0,5	0,07	0,09	19	26	0,58	1 520	326	14	416	0,7	0,20	1,8	1,4	88,6	0	
Tomatsoppa pulver tillagad m vatten	100	1,4	136	33	1,0	4,6	0,0	0,8	0,2	0,2	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,3	0,1	0,0	0,0	0,0	0,0	1,4	1,2	1,2	14	0	0,00	0,30	0,30	168	0,02	0,02	2	0,5	0,3	0,04	0,00	1	22	0,20	133	8	5	310	0,2	0,10	0,0	1,2	91,0	0	
Tomatsås	100	1,9	263	63	1,3	3,8	0,0	4,4	0,5	2,6	1,3	0,0	0,0	0,0	0,2	0,1	0,0	0,0	2,6	0,9	0,4	0,0	0,0	0,0	0,0	2,6	0,5	0,5	12	0	0,00	1,86	1,86	147	0,04	0,03	7	1,0	0,8	0,08	0,00	17	31	0,57	249	28	15	378	0,4	0,31	0,0	1,6	87,0	2	
Tonfisk i olja konserv	100	0,0	1 059	253	24,0	0,0	0,0	17,6	2,7	3,8	10,2	0,0	0,0	0,0	1,9	0,7	0,1	0,0	3,6	8,5	0,8	0,0	0,0	0,0	0,3	0,0	0,0	0,0	270	270	5,80	6,30	6,30	0	0,04	0,09	0	14,5	10,1	0,42	2,20	15	310	1,40	260	13	43	410	42,0	0,70	100,0	2,4	56,0	0	
Tonfisk i olja konserv avrunnen	100	0,0	900	215	29,0	0,0	0,0	11,0	1,7	2,2	6,0	0,0	0,0	0,0	1,2	0,4	0,0	0,0	2,1	4,8	0,5	0,0	0,0	0,0	0,2	0,0	0,0	0,0	240	240	5,80	6,30	6,30	0	0,05	0,12	0	17,2	11,9	0,43	2,20	15	310	1,40	260	13	43	410	42,0	0,70	100,0	2,0	58,0	0	
Tonfisk i vatten konserv avrunnen	100	0,0	461	110	24,5	0,0	0,0	1,2	0,3	0,2	0,3	0,0	0,0	0,1	0,2	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,1	0,0	0,2	0,0	0,0	0,0	370	370	4,50	1,20	1,20	0	0,05	0,06	0	18,0	13,5	0,25	2,10	15	170	1,40	182	13	20	315	42,0	0,90	42,0	1,3	73,0	0	
Tonfisk rå	100	0,0	577	138	23,3	0,0	0,0	4,9	1,3	1,6	1,4	0,0	0,0	0,1	0,8	0,3	0,0	0,2	0,9	0,1	0,0	0,0	0,3	0,1	0,9	0,0	0,0	0,0	655	655	4,50	1,00	1,00	0	0,24	0,25	0	12,9	8,7	0,46	9,43	2	254	1,02	252	8	50	39	36,5	0,60	38,0	1,2	70,6	40	
Tonfisk stekt	100	0,0	735	176	29,7	0,0	0,0	6,2	1,6	2,0	1,8	0,0	0,0	0,2	1,0	0,4	0,0	0,2	1,2	0,1	0,0	0,1	0,4	0,2	1,1	0,0	0,0	0,0	834	834	5,73	1,27	1,27	0	0,27	0,25	0	16,4	11,0	0,47	10,20	2	324	1,30	321	11	64	344	46,4	0,76	48,4	2,2	61,9	51	
Tonfiskröra	100	0,4	718	172	9,2	3,4	0,0	13,5	3,1	2,7	6,4	0,3	0,1	0,3	1,7	0,6	0,0	0,1	2,6	5,6	0,7	0,0	0,0	0,0	0,1	0,8	1,7	0,8	168	166	1,49	1,13	1,13	28	0,04	0,07	1	6,2	4,5	0,13	0,87	13	90	0,60	147	39	13	287	14,3	0,48	37,8	0,9	72,5	1	
Tonfisksallad u dressing	100	1,4	271	65	7,2	7,2	0,0	0,4	0,1	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,4	0,6	0,6	124	85	1,04	0,40	0,40	462	0,07	0,06	5	5,1	3,8	0,18	0,48	36	69	0,90	300	29	18	107	9,9	0,56	9,7	1,1	82,7	6	
Torkad fisk	100	0,0	1 395	333	79,0	0,0	0,0	1,4	0,3	0,1	0,6	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,4	0,0	0,0	0,0	40	40	2,40	0,50	0,50	0	0,03	0,10	0	23,5	9,0	0,20	1,00	14	450	2,50	1 400	160	120	240	20,0	2,00	180,0	4,8	14,8	15	
Torkade saltade kikärter snacks	100	15,5	1 575	377	23,3	47,8	0,0	6,6	0,7	2,0	2,5	0,0	0,0	0,0	0,5	0,1	0,0	0,0	2,0	2,4	0,1	0,0	0,0	0,0	0,0	0,0	2,6	2,6	2	0	0,00	1,28	1,28	21	0,07	0,18	0	5,5	1,6	0,70	0,00	320	343	4,40	959	64	116	118	2,3	2,98	0,0	2,9	3,9	0	
Torrjäst	100	0,0	1 506	360	37,0	48,1	0,0	1,6	0,2	1,4	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,8	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	2,35	5,40	0	42,7	36,5	2,00	0,00	4 000	1 290	16,10	2 000	44	195	52	3,3	13,50	0,0	8,3	5,0	0	
Torsk	100	0,0	315	75	17,0	0,0	0,0	0,7	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,2	0,0	0,0	0,0	0	0	1,00	1,00	1,00	0	0,05	0,04	2	5,1	2,0	0,23	0,80	12	190	0,20	355	16	28	50	27,0	0,40	50,0	1,1	81,2	34	
Torsk opanerad stekt	100	0,0	342	82	18,5	0,0	0,0	0,8	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,2	0,0	0,0	0,0	0	0	1,09	1,09	1,09	0	0,05	0,03	2	5,6	2,2	0,20	0,74	9	207	0,23	386	19	31	485	29,3	0,44	54,3	2,3	78,5	37	
Torsk panerad stekt	100	0,3	589	141	16,6	4,5	0,0	6,1	0,9	3,2	1,7	0,0	0,0	0,0	0,6	0,2	0,0	0,1	3,1	1,0	0,4	0,0	0,1	0,0	0,2	0,1	0,1	0,0	22	22	1,01	2,14	2,14	5	0,06	0,08	1	5,0	1,9	0,18	0,72	13	196	0,48	332	23	29	445	25,8	0,46	87,4	2,1	70,4	30	
Torskfilé kokt	100	0,0	361	86	19,5	0,0	0,0	0,8	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,2	0,0	0,0	0,0	0	0	1,14	1,14	1,14	0	0,05	0,04	2	5,9	2,3	0,25	0,82	10	218	0,23	407	19	32	216	30,9	0,46	57,2	1,7	78,1	39	
Torskfilé panerad stekt hemlagad	100	0,3	600	143	17,6	4,5	0,0	6,0	1,9	2,4	1,2	0,1	0,2	0,2	0,9	0,6	0,0	0,1	2,2	0,6	0,1	0,0	0,1	0,0	0,2	0,1	0,0	0,0	66	66	1,35	1,50	1,50	0	0,05	0,15	1	5,4	2,2	0,23	0,90	17	220	0,80	405	16	33	620	26,0	0,50	88,0	2,6	69,0	0	
Torskrom konserv	100	0,0	513	123	24,5	2,0	0,0	1,7	0,3	0,3	0,6	0,0	0,0	0,0	0,2	0,0	0,1	0,1	0,2	0,0	0,0	0,0	0,2	0,0	0,4	0,0	0,0	0,0	0	0	4,00	10,00	10,00	0	0,25	0,55	0	5,3	0,8	0,20	15,00	12	410	1,80	235	12	11	405	20,0	2,60	235,0	1,8	70,0	0	
Torskrom sillrom m.fl. rå	100	0,0	502	120	24,5	0,0	0,0	2,3	0,4	0,4	0,8	0,0	0,0	0,0	0,3	0,0	0,0	0,1	0,3	0,0	0,0	0,0	0,3	0,0	0,5	0,0	0,0	0,0	0	0	7,00	10,00	10,00	0	0,75	0,76	14	5,9	1,4	0,17	18,00	12	500	0,60	260	17	25	130	20,0	2,10	360,0	1,7	71,5	0	
Torskrom stekt	100	0,0	679	162	24,3	2,0	0,0	6,3	2,2	2,2	1,4	0,0	0,1	0,1	1,5	0,2	0,1	0,1	2,1	0,6	0,2	0,0	0,2	0,0	0,4	0,0	0,0	0,0	46	46	4,54	10,55	10,55	0	0,22	0,44	0	5,3	0,8	0,16	12,66	8	407	1,79	233	12	11	436	19,9	2,58	233,3	1,9	65,5	0	
Torsksufflé	100	0,1	527	126	12,4	5,2	0,0	6,2	2,2	2,4	0,9	0,1	0,1	0,1	1,5	0,3	0,0	0,1	2,3	0,6	0,2	0,0	0,0	0,0	0,1	0,1	1,9	0,0	88	87	1,28	1,30	1,29	13	0,06	0,15	1	3,6	1,1	0,13	0,72	14	174	0,62	257	66	22	493	18,8	0,45	126,9	2,1	74,1	18	
Tortellini m köttfyllning	100	3,0	658	157	5,6	22,2	0,0	4,3	1,5	1,8	0,7	0,0	0,0	0,1	0,9	0,5	0,0	0,1	1,6	0,6	0,0	0,0	0,0	0,0	0,0	0,0	1,1	0,2	0	0	0,00	0,30	0,30	0	0,09	0,06	0	2,2	1,2	0,07	0,20	16	87	0,87	55	172	19	327	1,1	0,78	46,3	1,0	63,8	0	
Tortellini ravioli m ostfyllning ospec.	100	2,6	776	186	7,2	25,7	0,0	5,3	3,1	1,5	0,5	0,2	0,4	0,4	1,5	0,4	0,0	0,1	1,4	0,4	0,0	0,0	0,0	0,0	0,0	0,2	1,0	0,2	0	0	0,00	0,46	0,46	0	0,05	0,09	0	2,4	0,7	0,05	0,22	16	91	0,66	66	434	16	392	1,1	0,89	40,8	1,3	58,0	0	
Tortilla chips	100	5,4	2 108	504	6,7	57,1	0,0	26,5	13,9	9,3	2,2	0,4	1,3	0,8	10,2	1,1	0,1	0,1	9,1	2,2	0,1	0,0	0,0	0,0	0,0	3,6	6,0	5,4	5	0	0,00	0,00	0,00	54	0,03	0,14	0	1,9	1,2	0,24	0,00	20	235	1,30	142	100	76	630	0,5	1,30	0,0	2,3	2,0	0	
Toscabit mazarinmassa mandel choklad	100	4,8	2 038	487	6,6	42,6	0,0	31,4	13,5	12,6	3,9	1,0	3,4	1,7	5,1	2,0	0,1	0,2	12,2	3,4	0,4	0,0	0,0	0,0	0,0	1,5	30,1	28,8	189	185	1,16	6,81	6,81	38	0,03	0,21	0	1,9	0,8	0,06	0,22	23	144	1,87	221	55	55	165	4,1	0,92	74,8	1,1	13,5	0	
Toscaglasyr	100	2,4	2 132	510	7,0	39,5	0,0	35,7	14,5	15,2	3,9	2,2	0,7	2,2	6,6	2,4	0,0	0,3	14,5	3,6	0,2	0,0	0,0	0,0	0,0	10,2	24,3	23,9	170	160	0,13	8,06	8,06	127	0,08	0,26	0	2,3	1,1	0,04	0,02	20	180	1,79	258	97	91	217	1,5	1,11	61,3	1,7	13,6	19	
Toscakaka	100	1,4	1 638	392	6,3	48,9	0,0	18,6	7,4	7,8	2,4	0,8	0,4	0,9	4,0	1,1	0,0	0,1	7,5	2,1	0,3	0,0	0,0	0,0	0,0	3,6	29,1	28,2	130	125	0,76	3,70	3,70	51	0,11	0,17	0	2,4	1,2	0,08	0,19	15	188	1,08	147	149	40	226	3,9	0,65	69,4	1,4	23,5	8	
Tranbär	100	3,3	192	46	0,4	8,9	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	3,4	0,0	0,0	2	0	0,00	1,60	1,60	22	0,05	0,07	10	0,2	0,1	0,06	0,00	2	9	0,70	80	15	8	1	0,0	0,30	0,0	0,2	87,0	5	
Trädgårdskrasse	100	1,6	156	37	2,6	4,3	0,0	0,7	0,0	0,2	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,1	0,0	0,0	0,0	0,0	0,2	0,0	0,0	217	0	0,00	0,70	0,70	2 600	0,08	0,26	35	1,4	1,0	0,25	0,00	30	76	1,30	600	81	25	14	0,0	0,20	0,0	1,8	89,0	29	
Tuggummi	100	0,0	1 583	378	0,4	92,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,5	79,5	78,2	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	4	7,40	41	1 152	156	24	0,0	0,10	0,0	4,1	2,8	0	
Tuggummi sockerfritt	100	0,0	1 474	352	0,6	86,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,4	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	4	10,00	87	2 355	186	102	0,0	0,10	0,0	9,8	3,5	0	
Tunnbringa av kalv	100	0,0	725	173	18,7	0,0	0,0	11,0	4,3	5,0	1,1	0,0	0,0	0,4	2,4	1,3	0,0	0,5	4,3	0,6	0,1	0,2	0,0	0,1	0,0	0,0	0,0	0,0	29	29	0,30	0,31	0,31	4	0,07	0,17	0	9,4	6,0	0,40	1,30	5	168	1,70	320	14	20	70	6,0	4,20	71,0	1,0	69,3	50	
Tunnbringa lamm	100	0,0	769	184	17,8	0,0	0,0	12,6	6,3	4,7	1,0	0,1	0,1	0,8	2,8	2,1	0,2	0,4	4,2	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	54	53	0,40	0,70	0,70	7	0,18	0,30	0	7,6	4,3	0,20	1,20	5	166	1,60	220	15	17	66	1,4	3,40	78,0	1,0	68,6	29	
Tunnbrödrulle korv tunnbröd potatismos räk- gurksallad	100	1,1	837	200	5,7	15,3	0,0	12,7	3,2	5,6	3,1	0,0	0,0	0,1	2,0	1,0	0,1	0,3	5,2	2,5	0,5	0,0	0,0	0,0	0,0	1,1	1,1	0,6	16	14	0,08	0,55	0,55	20	0,10	0,09	5	2,6	1,6	0,17	0,51	9	84	0,91	211	39	15	408	1,2	0,82	28,6	1,7	63,4	0	
Tunnbrödsrulle m pastrami potatis sallad majonnäs	100	2,1	664	159	5,4	15,6	0,0	7,8	1,2	4,3	1,9	0,0	0,0	0,1	0,7	0,3	0,0	0,0	4,1	1,3	0,5	0,0	0,0	0,0	0,0	3,4	2,2	0,2	15	13	0,10	0,53	0,53	21	0,07	0,07	3	2,4	1,4	0,18	0,42	17	65	0,77	238	24	17	395	2,8	0,73	11,0	1,7	67,3	0	
Tzatziki	100	0,4	265	63	2,2	3,9	0,0	4,3	2,8	1,0	0,1	0,4	0,1	0,4	1,2	0,5	0,0	0,0	0,9	0,1	0,0	0,0	0,0	0,0	0,0	0,8	1,4	0,0	41	35	0,03	0,16	0,16	69	0,03	0,08	3	0,6	0,1	0,04	0,12	12	60	0,13	149	69	11	125	1,3	0,33	12,7	0,8	88,4	2	
Ugnspannkaka	100	0,6	797	191	8,0	22,2	0,0	7,5	3,0	2,9	1,1	0,1	0,1	0,2	2,0	0,4	0,0	0,1	2,8	0,8	0,2	0,0	0,0	0,0	0,0	0,1	4,5	0,0	102	101	1,09	1,03	1,02	15	0,14	0,21	0	2,8	1,0	0,11	0,58	15	149	0,72	196	114	19	280	7,0	0,64	90,5	1,5	60,1	2	
Ugnspannkaka m lättmjölk ugnsbakad	100	0,6	775	185	8,1	22,4	0,0	6,8	1,3	3,4	1,6	0,0	0,0	0,1	0,8	0,3	0,0	0,1	3,3	1,1	0,4	0,0	0,0	0,0	0,0	0,1	4,5	0,0	81	63	0,61	1,46	1,46	11	0,14	0,21	0	2,8	1,0	0,11	0,59	15	149	0,73	196	115	19	284	7,1	0,64	89,3	1,5	60,6	2	
Ugnspannkaka m mellanmjölk	100	0,7	744	178	8,9	25,0	0,0	4,4	1,6	1,5	0,5	0,1	0,0	0,1	1,0	0,3	0,0	0,1	1,4	0,4	0,0	0,0	0,0	0,0	0,0	0,1	5,9	1,6	77	75	0,68	0,63	0,63	17	0,15	0,23	0	3,1	1,1	0,12	0,65	17	161	0,87	200	114	20	491	8,6	0,66	118,1	2,0	59,0	3	
Ugnsstekt äpple	100	2,4	564	135	1,7	17,2	0,0	6,1	1,3	3,4	1,2	0,0	0,1	0,1	0,9	0,1	0,0	0,0	3,3	1,1	0,2	0,0	0,0	0,0	0,0	8,3	6,7	6,7	26	24	0,30	2,20	2,20	20	0,02	0,07	6	0,6	0,4	0,03	0,00	6	48	0,51	173	22	25	19	0,1	0,23	0,0	0,5	72,1	13	
Wafers fyllda rån kex	100	1,7	2 249	538	4,1	62,3	0,0	29,9	28,1	0,3	0,2	3,8	12,6	5,0	2,9	3,8	0,1	0,0	0,3	0,2	0,0	0,0	0,0	0,0	0,0	0,0	32,7	32,0	0	7	0,10	1,31	1,31	2	0,03	0,04	0	1,4	0,7	0,06	0,10	14	68	1,58	177	20	23	114	1,3	0,48	0,0	0,8	1,2	0	
Valnötter	100	5,2	2 800	669	14,3	13,0	0,0	62,0	5,6	14,2	39,1	0,0	0,0	0,2	4,2	1,1	0,0	0,2	13,3	31,8	6,8	0,0	0,0	0,0	0,0	0,9	2,5	2,5	6	0	0,00	2,60	2,60	72	0,38	0,15	3	3,4	1,0	0,56	0,00	66	315	2,10	500	94	144	10	2,0	3,00	0,0	1,9	3,6	55	
Vaniljpudding	100	0,0	396	95	7,1	5,0	0,0	5,1	2,0	2,0	0,5	0,1	0,1	0,1	1,2	0,4	0,0	0,1	1,8	0,3	0,1	0,0	0,0	0,0	0,0	0,1	5,0	0,9	96	94	0,85	0,71	0,70	20	0,06	0,25	0	1,8	0,1	0,07	0,76	14	143	0,67	178	113	14	82	9,5	0,47	144,0	0,9	81,8	4	
Vaniljsås m havre 11% fett Oatly	100	0,9	676	162	0,9	14,5	0,0	11,0	3,6	5,4	2,0	0,0	0,0	0,1	2,7	0,5	0,0	0,0	5,0	1,5	0,4	0,1	0,5	0,0	0,0	0,0	12,2	9,7	39	0	0,00	0,08	0,08	470	0,05	0,00	0	0,2	0,1	0,00	0,00	1	17	0,00	34	6	3	66	1,0	0,10	0,0	0,2	72,5	0	
Vaniljsås mellanmjölk matlagnings- o vispgrädde hemlagad	100	0,0	804	192	3,8	11,8	0,0	14,6	8,9	4,0	0,8	1,1	0,5	1,4	4,0	1,5	0,0	0,2	3,5	0,4	0,1	0,0	0,0	0,0	0,0	0,0	10,2	6,6	50	48	0,28	1,21	1,21	19	0,04	0,18	0	1,0	0,1	0,05	0,41	29	101	0,41	120	61	13	47	5,7	0,73	114,6	0,7	69,2	0	
Vaniljsås mjölk kaffegrädde	100	0,0	458	109	4,9	12,9	0,0	4,2	2,3	1,2	0,2	0,3	0,1	0,3	1,1	0,4	0,0	0,1	1,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	11,4	6,6	51	50	0,19	0,29	0,29	19	0,05	0,18	0	1,2	0,1	0,05	0,54	8	114	0,29	174	120	13	57	4,7	0,47	61,9	0,9	77,1	1	
Vaniljsås pulver tillagad m mjölk	100	0,0	445	106	3,1	16,1	0,0	3,2	2,0	0,9	0,1	0,3	0,2	0,3	0,8	0,4	0,0	0,0	0,8	0,1	0,0	0,0	0,0	0,0	0,0	0,0	11,9	7,3	31	29	0,00	0,13	0,13	19	0,04	0,57	0	0,8	0,1	0,05	0,30	16	83	0,07	150	88	13	63	1,8	0,47	16,0	0,7	76,9	0	
Varmkorv 15% fett	100	0,0	949	227	8,0	12,8	0,0	16,1	6,3	7,3	1,7	0,0	0,0	0,3	3,7	2,2	0,0	0,5	6,6	1,4	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	7	6	0,10	0,15	0,15	13	0,14	0,06	0	3,1	1,6	0,09	0,36	4	125	2,10	215	76	13	700	2,0	1,70	65,0	2,4	60,7	0	
Varmkorv 23% fett grillad kokt	100	0,0	1 165	278	12,5	7,7	0,0	22,2	8,2	10,7	2,3	0,0	0,0	0,4	5,0	2,6	0,1	0,9	9,5	1,7	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,0	10	9	0,20	0,30	0,30	13	0,12	0,17	0	4,6	2,3	0,13	1,30	3	125	2,10	215	76	13	850	2,0	1,70	65,0	2,7	54,9	0	
Varmkorv ca 19% fett konserv kylkonserv	100	0,0	934	223	11,8	2,0	0,0	18,9	6,9	9,2	1,9	0,0	0,0	0,3	4,3	2,2	0,1	0,7	8,1	1,5	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	10	9	0,20	0,30	0,30	13	0,20	0,10	0	3,7	1,5	0,13	1,10	3	129	1,20	190	11	13	770	2,0	1,70	65,0	2,3	65,0	0	
Varmkorv ca 22% fett	100	0,0	1 146	274	12,1	8,5	0,0	21,5	7,9	10,4	2,2	0,0	0,0	0,4	4,9	2,5	0,1	0,8	9,2	1,7	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	11	10	0,20	0,30	0,30	13	0,16	0,22	0	5,3	3,1	0,15	1,10	4	125	2,10	215	76	13	850	2,0	1,70	65,0	2,9	55,0	0	
Varmkorv ca 23% fett grillad	100	0,0	1 223	292	13,2	8,7	0,0	23,0	8,4	11,1	2,4	0,0	0,0	0,4	5,2	2,7	0,1	0,9	9,9	1,8	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,0	10	9	0,20	0,30	0,30	13	0,16	0,22	0	5,5	3,1	0,13	1,30	3	125	2,10	215	76	13	850	2,0	1,70	65,0	3,1	52,0	0	
Varmkorv kokt	100	0,0	1 206	288	12,7	8,9	0,0	22,6	8,3	10,9	2,3	0,0	0,0	0,4	5,1	2,6	0,1	0,9	9,7	1,8	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	12	11	0,21	0,32	0,32	14	0,12	0,19	0	5,6	3,3	0,13	0,93	3	132	2,21	226	80	14	895	2,1	1,79	68,4	3,1	52,6	0	
Varmkorv stekt	100	0,0	1 206	288	12,7	8,9	0,0	22,6	8,3	10,9	2,3	0,0	0,0	0,4	5,1	2,6	0,1	0,9	9,7	1,8	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	12	11	0,21	0,32	0,32	14	0,12	0,19	0	5,6	3,3	0,13	0,93	3	132	2,21	226	80	14	895	2,1	1,79	68,4	3,1	52,6	0	
Wasa Sandwich, råg, olika fyllningar	100	9,1	1 972	471	12,6	45,9	0,0	24,5	16,6	5,5	1,3	0,0	3,7	2,0	7,6	1,4	0,1	0,1	5,3	1,1	0,1	0,0	0,0	0,0	0,0	1,2	1,9	0,2	79	58	0,11	1,68	1,68	256	0,15	0,27	0	4,0	1,0	0,24	0,34	74	414	1,48	383	200	57	860	3,6	2,47	22,6	3,8	4,2	0	
Wasa Sandwich, vete olika fyllningar	100	3,6	2 039	487	11,7	52,1	0,0	25,0	15,7	6,0	2,2	0,0	3,3	1,8	7,8	1,2	0,1	0,1	5,8	2,0	0,1	0,0	0,0	0,0	0,0	2,0	4,2	0,5	58	41	0,17	1,83	1,83	206	0,14	0,26	0	4,4	1,7	0,19	0,22	65	312	1,12	303	183	42	705	3,3	1,55	16,0	3,0	4,5	0	
Vassle	100	0,0	103	25	0,8	5,1	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,1	5,1	1	1	0,00	0,00	0,00	1	0,04	0,14	0	0,3	0,1	0,04	0,18	2	78	0,08	143	103	10	48	1,8	0,43	1,0	0,6	93,4	0	
